"한국표준직업분류 개정7차","성별","경력구분","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"관리자(1)","전체","1~3년미만","총근로시간","시간","178.1","179.6","164","170.1","155.4","156.5",
"관리자(1)","전체","1~3년미만","근로자수","명","5873","5736","5040","5779","5524","4733",
"관리자(1)","전체","3~5년미만","월임금총액","천원","8483","9425","9985","10799","10767","11401",
"관리자(1)","전체","3~5년미만","월급여액","천원","7646","8223","8864","9354","9619","9764",
"관리자(1)","전체","3~5년미만","전년도연간특별급여/12개월","천원","836","1202","1121","1446","1148","1637",
"관리자(1)","전체","3~5년미만","전년도 연간특별급여","천원","10037","14424","13449","17350","13775","19641",
"관리자(1)","전체","3~5년미만","총근로시간","시간","177.5","176.8","163.2","172.3","160.5","156.3",
"관리자(1)","전체","3~5년미만","근로자수","명","4687","3449","4328","5436","5058","4345",
"관리자(1)","전체","5~10년미만","월임금총액","천원","10203","9713","10787","10842","11218","10961",
"관리자(1)","전체","5~10년미만","월급여액","천원","8554","8633","9431","9573","9822","9751",
"관리자(1)","전체","5~10년미만","전년도연간특별급여/12개월","천원","1649","1081","1356","1269","1396","1209",
"관리자(1)","전체","5~10년미만","전년도 연간특별급여","천원","19786","12966","16269","15233","16754","14514",
"관리자(1)","전체","5~10년미만","총근로시간","시간","176.9","180.4","165.3","173.7","159.8","157.5",
"관리자(1)","전체","5~10년미만","근로자수","명","9458","8395","10027","13019","10351","10955",
"관리자(1)","전체","10년이상","월임금총액","천원","10697","11216","12344","12321","12532","12946",
"관리자(1)","전체","10년이상","월급여액","천원","9172","9820","10654","10663","10908","11177",
"관리자(1)","전체","10년이상","전년도연간특별급여/12개월","천원","1526","1396","1690","1658","1624","1769",
"관리자(1)","전체","10년이상","전년도 연간특별급여","천원","18306","16755","20276","19893","19490","21232",
"관리자(1)","전체","10년이상","총근로시간","시간","176.9","177.8","164","169.7","156.1","155.6",
"관리자(1)","전체","10년이상","근로자수","명","84855","79246","92632","105623","107550","98982",
