KNOW직업코드,유사직업명,조사년도
2182,"PCO, 기획자,  큐리이터, PEO",2013
2183,"플래너, 매니저",2013
14115,감리사,2013
14116,"전공장, 건축기사",2013
14117,"3D 건축디렉터, 건축사",2013
14120,"토목기사, 엔지니어",2013
14121,"지반기술자, 토목기사, 도로설계기술자",2013
14122,설계사,2013
14123,"토목기사, 토목공학자, ",2013
14127,"토목감리원, 토목기사, 감리사",2013
14130,"인테리어, 조경전문가, 디자이너, 조경부, 조경사, 그린키퍼, 분재관리사, 조경기사, 기술자, 조경관리자, 기사, 감독",2013
14140,"도시계획가, 엔지니어, 도시설계가,  설계기사",2013
14141,교통기사,2013
14150,"측량기사, 프로그래머, 지적기사",2013
14151,"도화사, 항공사진측량분석가, 측량기사",2013
14152,"GIS전문가, 지리전문가, 토지전문가정보기술자, 지리정보관리자",2013
14155,"교통연구가, 사고조사연구원, 안전개선요원",2013
14160,"시험연구원, 시험기사",2013
14165,"연구원, 교통기사, 기술사",2013
14170,"건설기술자, 공무기사",2013
14175,,2013
14180,건축기사,2013
14200,목수,2013
14310,,2013
14320,,2013
14330,기사,2013
14341,장비기사,2013
14410,,2013
14420,"벽돌조적원, 벽돌조적공",2013
14500,목수기사,2013
14610,"건축기술자, 건축기능공",2013
14620,방수기사,2013
14630,배관기사,2013
14631,"철도차량관리원, 철도관리자, 철도관리원, 설비공, 건축기사, 배관공, 기계정비사, 배관수리기사",2013
14640,보일러기사,2013
14650,"도배공, 타일공,  바닥시공원, 타일기능사 ",2013
14660,"기능사, 창호부착원, 창호공, 유리시공원",2013
14670,도배기사,2013
14680,도장기능사,2013
14692,"잠수사, 다이버, 검사원",2013
14700,"장비기사, B/H, 석기사",2013
14701,"잡역부, 일용직노동자, 현장인부",2013
14810,"재단사, 광부",2013
14820,"화약관리자, 화약류제조기사, 안전담당, 화약기사",2013
14830,"설치기사,  보수원, 현장수리기사, 보선원",2013
15100,"엔지니어, 기계설계기사, 건축기술자, 기술공학자, 건설공학기술자",2013
15101,"설계자, 공학기술자, 연구원, 엔지니어",2013
15102,"자동화장비설계사, 엔지니어, 연구원, 건축설비기사",2013
15103,"연구원, 엔지니어, 정비사",2013
